listing_number,price,beds,baths,sq_ft,description,key_details,walkscore
179499848,150000,,,,"Parking space #163 at the Somerset Garage, Premier location walking distance to everything the Back Bay has to offer!",Clock: 11 hours on Redfin; Car: Parking; Fence: 151 sq ft lot; High end tour: $70 monthly HOA fee; New construction: Back Bay,Walk: 97/100 Walker's Paradise | Transit: 88/100 Excellent transit | Bike: 91/100 Biker's paradise
9192725,1099000,3,3,1900,"City Point Single-family with lots of Victorian charm, including 9.5' ceilings with original crown moldings, custom trims, and hardwood floors throughout. The sunfilled eat-in kitchen has French doors to a deck and a large yard, providing ample space for family gatherings. The center staircase has a skylight leading to the upper floor, which contains bedrooms and a full bath. The lower level has a large family room with a full bath, an office, and a laundry/utility/storage room. This three-bedroom, three-bath home is conveniently located steps to all bus lines, M Street beach, and minutes to downtown and the seaport area.","Clock: 12 hours on Redfin; House: Single-family; Wrench: Built in 1900; Fence: 2,161 sq ft lot; Ruler: $578 per sq ft; Temperature: Has A/C; New construction: South Boston",Walk: 83/100 Very Walkable | Transit: 47/100 Some transit | Bike: 78/100 Very bikeable
9095943,1590000,13,5,5030,"4 Units available in Dorchester with excellent rents, and Unit 1 being delivered Vacant. Unit 1 was just renovated with Updated Kitchen and Bath. The remaining units were renovated just over a year ago. This building is located close to everything from Parks, Golf Course, Shopping, steps away from public transportation and only a few minutes drive to the highway. There's plenty of off street parking for Tenants in back. Roof is only a few years old.","Clock: 12 hours on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1900; Fence: 7,375 sq ft lot; Ruler: $316 per sq ft; Car: 6 parking spaces; New construction: Dorchester",Walk: 71/100 Very Walkable | Transit: 61/100 Good transit | Bike: 61/100 Bikeable
193261028,695000,2,2,971,"Welcome to ""THE ARMSTRONG"", West Roxbury's luxury building! This 2023 new construction building has a collection of 40 designer condos & delivers on every necessity a buyer desires from the garage parking with elevator access to the owner's lounge, common deck & fitness room! Thoughtfully designed with stunning attention to detail & the highest-quality finishes! This stunning unit include contemporary kitchens with Craft Cabinets, waterfall edges & Beko appliance packages. Fine Features: designer tile baths, 7.5"" flooring, custom closet space, elevator, garage parking, energy-efficient gas HVAC systems & in-unit washer/dryer. This coveted location is only 300 feet from the Commuter Train to Boston, Roche Bros supermarket, Starbucks, shops, fine restaurants & green space at Billings Field!",Clock: 12 hours on Redfin; Condo: Condo; Wrench: Built in 2023; Fence: 0.62 acres; Ruler: $716 per sq ft; High end tour: $494 monthly HOA fee; Car: 2 garage spaces; Temperature: Has A/C; New construction: West Roxbury,Walk: 89/100 Very Walkable | Transit: 44/100 Some transit | Bike: 50/100 Bikeable
193260639,1200000,3,2.5,1683,"Sunny City Point single family home with garage parking. This recently constructed home features an ideal layout and multiple exposures. Located just one city block from Castle Island and across the street from a park, the neighborhood is truly your backyard. Easily accessible to Downtown and other South Boston highlights as well. The garage parking is very convenient - or easily park on the street and use the space for extra storage! Hardwood floors throughout as well as central air. The second floor kitchen / living room provides views and sunlight all day. NO CONDO FEE or neighbors to worry about. This is a fantastic opportunity to tap the hot South Boston market and live on a quiet residential street.",Clock: 13 hours on Redfin; Condo: Condo; Wrench: Built in 2009; Fence: 683 sq ft lot; Ruler: $713 per sq ft; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South Boston's City Point,Walk: 69/100 Somewhat Walkable | Transit: 55/100 Good transit | Bike: 73/100 Very bikeable
85680814,1200000,3,2.5,1683,"Sunny City Point single family home with garage parking. This recently constructed home features an ideal layout and multiple exposures. Located just one city block from Castle Island and across the street from a park, the neighborhood is truly your backyard. Easily accessible to Downtown and other South Boston highlights as well. The garage parking is very convenient - or easily park on the street and use the space for extra storage! Hardwood floors throughout as well as central air. The second floor kitchen / living room provides views and sunlight all day. NO CONDO FEE or neighbors to worry about. This is a fantastic opportunity to tap the hot South Boston market and live on a quiet residential street.",Clock: 13 hours on Redfin; House: Single-family; Wrench: Built in 2009; Fence: 683 sq ft lot; Ruler: $713 per sq ft; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South Boston's City Point,Walk: 69/100 Somewhat Walkable | Transit: 55/100 Good transit | Bike: 73/100 Very bikeable
175462488,849000,2,1,745,"A LIGHT BRIGHT AND BEAUTIFUL 2BD/2BTH HOME AT THE BLAKE, with private outdoor space and parking. The home features two walls of large windows and sliding doors to a lovely covered outdoor patio, large open plan with wood floors, upscale appliances, quartz counters, and in-home laundry. The primary bedroom comes with California Closets for added storage. The outdoor amenities include a porch, common lounge area, and rooftop space with sweeping downtown views, complete with barbecue grill, dining and lounge areas, a pet area, and Corn-hole. The Blake also offers garage parking, a large private gym, and proximity to popular local spots like Lincoln, Capo, and Loco, as well as easy access to the Broadway T station. Plus, it’s pet-friendly! You will love the effortless urban living. It doesn't get better than this with unmatched amenities and convenience.","Clock: 13 hours on Redfin; Condo: Condo; Wrench: Built in 2022; Ruler: $1,140 per sq ft; High end tour: $650 monthly HOA fee; Car: 1 garage spaces (2 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South Boston",Walk: 96/100 Walker's Paradise | Transit: 58/100 Good transit | Bike: 60/100 Bikeable
9226053,1049000,3,2.5,1920,"Newly gut renovated three bedroom two and a half bath in the heart of West Roxbury near restaurants, shops and parks! The newly renovated kitchen boasts top-of-the-line stainless steel appliances, quartz countertops, and a spacious island. Sun filled living room with a beautiful fireplace. New HVAC system with two zones. Master bedroom with ensuite bath and walk in closet. Bonus room on third floor perfect for office or play area. Large back yard with a patio for entertaining.","Clock: 14 hours on Redfin; House: Single-family; Wrench: Built in 1916; Fence: 5,750 sq ft lot; Ruler: $546 per sq ft; Car: 3 parking spaces; Temperature: Has A/C; New construction: West Roxbury",Walk: 75/100 Very Walkable | Transit: 44/100 Some transit | Bike: 63/100 Bikeable
9170247,1320000,4,2,2701,"Welcome to this stunning 1899 home in Peters Hill. This meticulously restored property showcases a blend of historic charm and modern comfort, featuring energy-efficient upgrades that enhance its appeal. As you enter, you’ll be greeted by elegant architectural details, including restored original windows and intricate moldings that pay homage to its rich history. The spacious living areas invite natural light, creating a warm and welcoming atmosphere, enhanced by a designer color palette and stylish light fixtures. Modern conveniences like mini-splits ensure year-round comfort, while solar panels contribute to energy efficiency and sustainability. The property includes an income-generating unit, offering both charm and appeal, as well as finished bonus rooms in the basement that provide flexibility for various needs. This home beautifully balances timeless elegance with modern amenities, a true gem to behold.","Clock: 14 hours on Redfin; House: Single-family; Wrench: Built in 1899; Fence: 5,000 sq ft lot; Ruler: $489 per sq ft; Car: 2 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Peters Hill",Walk: 87/100 Very Walkable | Transit: 57/100 Good transit | Bike: 77/100 Very bikeable
9153017,499000,1,1,832,"Unique one bedroom condo on 8-acres of land in Jamaica Plain with the Arnold Arboretum in your backyard. Large bedroom with double closet, living room/dining room combo with tall ceilings and a full bath. Just a few steps to the laundry, storage area and mailroom. One deeded parking space, ample guest spaces and direct private access to this unit from the outside. HOA includes heat, hot water, a heated swimming pool, tennis courts and gate to the Arboretum.",Clock: 14 hours on Redfin; Condo: Condo; Wrench: Built in 1885; Ruler: $600 per sq ft; High end tour: $737 monthly HOA fee; Car: 1 parking space; Washer: Shared laundry; New construction: Jamaica Plain,Walk: 52/100 Somewhat Walkable | Transit: 67/100 Good transit | Bike: 59/100 Bikeable
193257153,1695000,4,2.5,2800,"Discover the newest addition to the Preserve at Cardinal Hill, set against over 90 acres of conservation land. This modern community features stunning single-family homes. This elegant residence offers 4 spacious bedrooms and 2.5 luxurious bathrooms. The living room, with its stylish fireplace, is perfect for cozy gatherings. The chef's kitchen flows seamlessly into the formal dining area and a bright breakfast nook. The primary suite serves as a private retreat, complete with a fireplace, spa-like bathroom, and ample closet space. Crafted with attention to detail, the home boasts designer lighting, rich hardwood floors, and elegant tile baths. The thoughtfully designed floor plan balances entertainment and daily comfort, complemented by a two-car garage. Explore this exceptional home at our open houses or schedule a private tour. Join a vibrant neighborhood and experience the best of urban living!","Clock: 34 hours on Redfin; House: Single-family; Wrench: Built in 2024; Fence: 9,012 sq ft lot; Ruler: $605 per sq ft; Car: 2 garage spaces (4 total); Temperature: Has A/C; Washer: Washer and dryer hookups; New construction: West Roxbury",Walk: 21/100 Car-Dependent | Transit: 40/100 Some transit | Bike: 40/100 Somewhat bikeable
186041442,550000,4,1,1143,"This beautifully designed condo seamlessly blends style, functionality, and accessibility. With hardwood floors and custom closet shelving, every detail emphasizes comfort and luxury. The four spacious bedrooms provide versatility for relaxation or work, while the eat-in kitchen boasts white cabinetry, marble countertops, and stainless steel appliances—ideal for culinary enthusiasts. Enjoy stunning city views from the expansive front deck. Conveniently located near transportation options and major routes, it offers effortless commuting. Newly remodeled in 2023, this turn-key unit allows you to move in and unpack with ease. Plus, nearby Franklin Park offers a perfect escape into nature.",Clock: 35 hours on Redfin; Condo: Condo; Wrench: Built in 1900; Ruler: $481 per sq ft; High end tour: $269 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; New construction: Dorchester,Walk: 72/100 Very Walkable | Transit: 75/100 Excellent transit | Bike: 68/100 Bikeable
9149024,1150000,3,1.5,1836,"Nestled in the heart of Jamaica Plain, this immaculate three-bedroom, one-and-a-half-bath home boasts stunning hardwood floors and elegant architectural details throughout. The entire home has been recently renovated with luxury finishes and high end fixtures. The spacious living room features a cozy fireplace, while the dining room flows through an elegant breakfast nook into an updated kitchen that overlooks the lush and vibrantly planted garden and patio. Step outside to the patio and enjoy your private backyard, perfect for outdoor gatherings. The primary bedroom is expansive and flooded with light. The top floor landing is one of the stunning architectural features of the home adding space and natural light to the entire floor. This charming English cottage style residence is adorned with crown moldings and other original details, enhancing its timeless appeal. With a downstairs family room and office area, it offers ample space for both relaxation and productivity.","Clock: 35 hours on Redfin; House: Single-family; Wrench: Built in 1935; Fence: 4,330 sq ft lot; Ruler: $626 per sq ft; Car: 2 parking spaces; New construction: Boston",Walk: 70/100 Very Walkable | Transit: 63/100 Good transit | Bike: 81/100 Very bikeable
9081701,295000,1,1,620,"Welcome to this updated 1-bedroom, 1-bath condo in the Heritage Hill Condominium complex in Dorchester, Boston. Recently refreshed with new flooring, this unit offers a modern vibe throughout. The spacious bedroom features double closets for ample storage. The professionally managed, pet-friendly building offers on-site laundry, an elevator, and a newly upgraded heating system. Heat and hot water are included in the association fee, ensuring hassle-free living. Located across from the elevator, the unit provides easy access and includes a fixed wall air conditioner for summer comfort. Parking is first-come, first-served with a building sticker. Enjoy the convenience of nearby restaurants, nightlife, parks, and shops, along with easy highway access and proximity to the train station—perfect for city living.",Clock: 35 hours on Redfin; Condo: Condo; Wrench: Built in 1962; Fence: 620 sq ft lot; Ruler: $476 per sq ft; High end tour: $488 monthly HOA fee; Car: 1 parking space; Washer: Shared laundry; New construction: Dorchester,Walk: 83/100 Very Walkable | Transit: 65/100 Good transit | Bike: 57/100 Bikeable
171967620,1888888,4,2,5764,"NOW FULLY LEASED! Annual net income over $150,000 makes this an 8 CAP INVESTMENT! The building features a +/- 3,600 sq/ft commercial space (2,413 sq/ft first floor + basement) which is newly leased to a boxing gym on a 5 year lease with a 5 year option, NNN. The two residential apartments are newly renovated with hardwood floors, crown moldings, beautiful tile baths, white shaker kitchens with quartz counters, in unit laundry, central A/C and decks. These units are on lease to 8/31/25. The property comprises 2 lots which lends to potential future expansion. This is hands down THE BEST INVESTOR DEAL IN BOSTON! Call today for a private showing. Pro-Forma attached. OFFERS DUE 10/30 at 5PM.","Clock: 1 day on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1900; Fence: 5,793 sq ft lot; Ruler: $328 per sq ft; Car: 2 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Jamaica Plain",Walk: 88/100 Very Walkable | Transit: 82/100 Excellent transit | Bike: 98/100 Biker's paradise
9007927,1199000,5,4.5,2940,"Spacious two family with three-level 4 bed on the upper levels plus a rented 1 bed on the lower level. The tri-level owner's unit features 4 large bedrooms with 3.5 bathrooms. Ready for occupancy with refinished dark oak floors and new carpet, this unit has an updated kitchen that includes stainless steel appliances and granite countertops. The lower level rental unit boasts a modern kitchen with a large island, granite countertops, stainless appliances and has an open floor plan to the living room. Laundry machines are located in the common space for both units to enjoy. Each unit has their own private deck and there is a large fenced in yard for outdoor enjoyment. One off street driveway parking plus plenty of street parking on this dead end street. This home is registered as a 2 family, but shares one common heating system (approx. 2 year old heating system).","Clock: 1 day on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1990; Fence: 3,707 sq ft lot; Ruler: $408 per sq ft; Car: 1 parking space; New construction: Brighton",Walk: 58/100 Somewhat Walkable | Transit: 47/100 Some transit | Bike: 64/100 Bikeable
9283408,1400000,2,2,1234,"Featuring its own skyline-view roof deck plus parking, this penthouse duplex sits on picturesque Claremont Park, a quiet tree-lined block of handsome restored townhouses well located near the border between the South End and Back Bay. Newly refinished, this sunlit 2-bedroom, 2-bath residence has airy bowfront windows, gleaming hardwood floors, beautiful period details, and 2-zone heating/cooling. Overlooking the treetops and streetscape, the spacious bowfront great room has an inviting marble fireplace. For easy living and entertaining, a granite bar counter separates the open kitchen. Off the great room is a versatile bedroom that can double as a study. The primary bedroom suite includes a separate office area and walk-in closet. Professionally managed, 1-3 Claremont Park has a rich history as the former home and music academy of Anna Bobbitt Gardner, who had a great impact on the arts in Boston and was the first Black woman to earn a B.A. from New England Conservatory of Music.","Clock: 1 day on Redfin; Townhouse: Townhome; Wrench: Built in 1899; Fence: 1,234 sq ft lot; Ruler: $1,135 per sq ft; High end tour: $441 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South End",Walk: 95/100 Walker's Paradise | Transit: 97/100 Rider's paradise | Bike: 95/100 Biker's paradise
9207401,849000,4,2.5,2078,"Suburban feel to this sun-filled city home! Come see this property on an oak-lined street with woods behind it, bordering Chestnut Hill. Built in the1950's, it has some up-dates and awaits your personal touches. The kitchen has been renovated w/granite countertops, new windows & new cabinets. The appliances & bathrooms older & the list price reflects this. Hardwood floors throughout most of the rooms, including the large living room which has a working wood burning fireplace. 2 good sized bedrooms on the1st floor with a half bath & laundry (could be made a full bath again) & the 2nd floor has a large primary bedroom & 2nd bedroom & full bath. The possibilities are endless in the lower level which is perfect for an ADU (accessory dwelling unit) in the future. Lower level has new flooring, full bath, and plenty of storage. There is direct access from the garage with electric door opener. The yard is right off the kitchen, includes patio, storage sheds & surrounded by mature trees!","Clock: 1 day on Redfin; House: Single-family; Wrench: Built in 1955; Fence: 6,668 sq ft lot; Ruler: $409 per sq ft; Car: 1 garage spaces (4 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: West Roxbury's Chestnut Hill",Walk: 52/100 Somewhat Walkable | Transit: 35/100 Some transit | Bike: 37/100 Somewhat bikeable
11487250,1259000,2,2.5,1840,"A rare find in Brookline! This stunning 1840 s/f Penthouse duplex 2 bedroom has undergone a complete renovation to create a modern luxury home with all the conveniences of a full service building. This gorgeous residence offers a beautifully designed kitchen, an open concept living /dining area with abundant light and striking views, new oak flooring, high ceilings with recessed lighting, and entrances on both levels. Beyond the living room is a large rooftop patio for your own personal retreat! The spacious bedroom suites have stunning ensuite bathrooms, endless closets, and custom window treatments. The amenities are impressive with a fabulous health club, Olympic style heated outdoor pool, tennis courts, private residents lounge, 24 hours security, and outdoor patio for BBQ. Two car garage space is included! The location cannot be beat ...minutes to MBTA and buses, across from Olmstead Park and ponds, near shopping, restaurants, universities & hospitals.","Clock: 1 day on Redfin; Condo: Condo; Wrench: Built in 1960; Ruler: $684 per sq ft; High end tour: $1,858 monthly HOA fee; Car: 2 garage spaces; Washer: Shared laundry; New construction: Brookline",Walk: 92/100 Walker's Paradise | Transit: 76/100 Excellent transit | Bike: 96/100 Biker's paradise
193249151,579999,3,1.5,1471,"Welcome to this beautifully updated 3-bedroom, 1.5-bath townhouse in the sought-after Fairmount Hill neighborhood of Hyde Park! Boasting over 1,400 square feet of living space, this home also features a full, private basement, new private decks, perfect for outdoor relaxation, and plenty of off-street deeded parking. The fully renovated kitchen and bathrooms add a sleek, modern touch, enhancing the home's overall charm and functionality. Located a short distance to a vibrant Hyde Park Center, where you will find an array of restaurants, shops, MBTA transit, and Fairmount commuter rail for easy access to downtown Boston. Don't miss the opportunity to own this stunning home that offers the perfect blend of comfort, style, and urban convenience!",Clock: 1 day on Redfin; Townhouse: Townhome; Wrench: Built in 1920; Ruler: $394 per sq ft; High end tour: $250 monthly HOA fee; Car: 4 parking spaces; Temperature: Has A/C; Washer: Washer hookup; New construction: Hyde Park's Fairmount,Walk: 50/100 Somewhat Walkable | Transit: 57/100 Good transit | Bike: 36/100 Somewhat bikeable
9226099,1050000,5,2,2324,"20 Sunset Hill Road is a stunning 2-family home in a coveted Parkway location, known for its gorgeous views! This well-maintained home is a rare find & has been lovingly cared for by the same owner for decades! An enclosed entryway welcomes you to the private entrances for each unit! Classic, highly sought-after floor plans offer living rooms with gorgeous wood flooring, formal dining rooms w/bay windows & china cabinets that flow into the modern eat-in kitchens with granite counters! At the rear of the home, you will find enclosed porches with a ""wall of windows"" providing commanding treetop views overlooking the oversized 11,700 lot of land offering complete privacy! Updated gas heating systems, modern kitchen & baths, gorgeous wood flooring, great closet & storage space, natural wood trim, a full walk-up attic with expansion potential, and walkout basement! Large patio & ample off-street parking! This top location is steps to Centre St, shops, Bus, Boston train + Arnold Arboretum!",Clock: 1 day on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1920; Fence: 0.27 acres; Ruler: $452 per sq ft; Car: 3 parking spaces; New construction: West Roxbury,Walk: 73/100 Very Walkable | Transit: 49/100 Some transit | Bike: 58/100 Bikeable
